Country,Value
data,2171
variety,177
law,1228
set,1261
fleet,37
bundle,40
traffic,485
combination,155
content,971
classes,56
class,300
categories,80
sets,166
expo,49
package,190
packages,75
batch,20
smithereens,5
packets,43
fleets,2
bundles,6
packet,27
aviation,64
category,75
findings,209
combinations,14
assortment,18
motley,18
galaxy,25
varieties,8
varietys,1
flagging,8
galaxies,18
batches,4
repertoire,8
mythology,9
expos,9
smorgasbord,4
fauna,4
backlog,8
vegetation,5
menagerie,2
pile,29
heap,23
datas,8
pantheon,7
backlogs,3
judaica,1
herbarium,2
flora,4
botany,1
zoology,2
signage,3
aviations,1
potpourri,1
galaxys,1
mythologies,1
herbaria,1